object_type,luna,arch,file,cantaloupe
Image,UoE~1~1~24892~219673,485b38c2-b088-447c-bd8a-ea02e07668ad,0207310c.tif,
Image,UoE~1~1~24891~219674,fbc34e75-9963-4d0c-b775-080111611d65,0207309c.tif,
Image,UoE~1~1~24890~219675,7687b2a4-59ae-4d54-b08c-da26bb9c63b7,0207308c.tif,
Image,UoE~1~1~24889~219676,2d061265-2aaa-4cd3-ac00-0cc8cd379842,0207307c.tif,
Image,UoE~1~1~24888~219677,8860e7b2-0663-48a0-a4c9-53f4f5ed48ba,0207306c.tif,
Image,UoE~1~1~24887~219678,5cd273d7-008f-49d2-aa53-65fbf214cd87,0207305c.tif,
Image,UoE~1~1~24886~219679,c375d551-db98-4925-ab07-7d1a61bd5c28,0207304c.tif,
Image,UoE~1~1~24885~219680,99d628a5-7f17-451e-834f-7f8098bfbe46,0207303c.tif,
Image,UoE~1~1~24884~219681,a99e505f-6b0b-4f2d-8f85-af4c2141cf49,0207302c.tif,
Image,UoE~1~1~24883~219682,652e514e-c799-447c-84e3-a25b5f16b254,0207301c.tif,
Image,UoE~1~1~24882~219683,62d15b07-feed-43c8-95a0-eeee7eaaf47a,0207300c.tif,
Image,UoE~1~1~24881~219684,cb34c1bc-b7fe-4959-a518-0226bf7d521a,0207299c.tif,
Image,UoE~1~1~24880~219685,3517b095-5a11-4756-8af4-c3de95fe3b70,0207298c.tif,
Image,UoE~1~1~24879~219686,8afdf979-c44e-4557-a1f2-ebe7f46c0842,0207297c.tif,
Image,UoE~1~1~24878~219687,128490f4-b88b-4cd9-8e15-c3e9c872ab7e,0207296c.tif,
Image,UoE~1~1~24877~219688,cb4cea2d-65b9-4885-8ab8-a1868638032f,0207295c.tif,
Image,UoE~1~1~24876~219689,54992bc8-8a92-4bc6-939a-6b96b3529b36,0207294c.tif,
Image,UoE~1~1~24875~219690,04ff2aba-67d0-47ba-9d7b-7f7fbef1263b,0207293c.tif,
Image,UoE~1~1~24874~219691,fa94be35-c902-48de-8e14-dbb563cd71f6,0207292c.tif,
Image,UoE~1~1~24873~219692,c9b3e14b-912e-4d16-9a87-f0d69cf87197,0207291c.tif,
Image,UoE~1~1~24872~219693,aefbfe0a-799e-43c4-86bb-d17a01f4caaa,0207290c.tif,
Image,UoE~1~1~24871~219694,27d68ac3-9bd9-4608-ae81-9f78de985c95,0207289c.tif,
Image,UoE~1~1~24870~219695,1c6f839e-c47d-4eb1-a9d3-c90d4805f794,0207288c.tif,
Image,UoE~1~1~24869~219696,4d43a2ba-1681-40e8-a5d5-9e4803f81cdf,0207287c.tif,
Image,UoE~1~1~24868~219697,ec04e79a-0ab6-4b9c-9e8c-18529f92f226,0207286c.tif,
Image,UoE~1~1~24867~219698,2d9a64d0-861d-4198-876c-13a715c765bd,0207285c.tif,
Image,UoE~1~1~24866~219699,f5683c59-2123-470b-9d1f-eaab1d72fa11,0207284c.tif,
Image,UoE~1~1~24865~219700,4a8e5871-3d5e-44c0-a4b4-07ddd3a49f14,0207283c.tif,
Image,UoE~1~1~24864~219701,b1e6a832-dbe0-4961-8f7b-93008371458a,0207282c.tif,
Image,UoE~1~1~24863~219702,5e6bf7f8-5586-4c5a-9538-0555a79a8673,0207281c.tif,
Image,UoE~1~1~24862~219703,5103db40-69d4-4727-832a-274d07b070e1,0207280c.tif,
Image,UoE~1~1~24861~219704,34a8e71e-44e1-496e-ae68-ef91f46fbcf6,0207279c.tif,
Image,UoE~1~1~24860~219705,a61daf83-6ce3-4389-96b0-4511ee0214bc,0207278c.tif,
Image,UoE~1~1~24859~219706,06b4de3b-0ea5-4b57-9d35-c1c677a5f9cf,0207277c.tif,
Image,UoE~1~1~24858~219707,04cda2be-38b7-40a1-a6b4-0c1c9cce9d4d,0207276c.tif,
Image,UoE~1~1~24857~219708,e377045e-8296-4d81-9491-847b21bb6077,0207275c.tif,
Image,UoE~1~1~24856~219709,fb665e25-862f-4dfd-83af-b9b85c2b7f09,0207274c.tif,
Image,UoE~1~1~24855~219710,648aab90-f10b-49ed-8e12-37553799c552,0207273c.tif,
Image,UoE~1~1~24854~219711,e5fb0ddf-a9d9-40f2-98c7-d4a28fb98c8f,0207272c.tif,
Image,UoE~1~1~24853~219712,e7b76c30-a677-4d32-8a1e-486074223a19,0207271c.tif,
Image,UoE~1~1~24852~219713,dce1557c-47b6-437b-ab4c-580b8d2c6871,0207270c.tif,
Image,UoE~1~1~24851~219714,2e2349fa-5fc7-4613-8581-b059e02e2ded,0207269c.tif,
Image,UoE~1~1~24850~219715,3df6c68b-ef51-482a-947b-a81043b12331,0207268c.tif,
Image,UoE~1~1~24849~219716,89bfaf94-8453-4f0a-b848-86f864bc3c9e,0207267c.tif,
Image,UoE~1~1~24848~219717,3905b0cf-9d49-4ee3-bd5c-25d3eee6345c,0207266c.tif,
Image,UoE~1~1~24847~219718,568af7cd-8e75-43ad-b2e6-3e0bbff7f880,0207265c.tif,
Image,UoE~1~1~24846~219719,e20b110a-1c22-4e31-867c-4ae6f09b22d4,0207264c.tif,
Image,UoE~1~1~24845~219720,c3fc611f-bf24-421f-ac00-25ec5852484a,0207263c.tif,
Image,UoE~1~1~24844~219721,145cad26-f4b4-43c9-82c0-092ac2266895,0207262c.tif,
Image,UoE~1~1~24843~219722,643471f0-afb3-44c2-ba65-dfe72036f7d8,0207261c.tif,
Image,UoE~1~1~24842~219723,a9de2758-72f0-4119-b5df-b58d22ad19e2,0207260c.tif,
Image,UoE~1~1~24841~219724,6a11be28-6115-40e0-ae74-9be4ba0f85a9,0207259c.tif,
Image,UoE~1~1~24840~219725,8c8481f5-b65d-4b5c-ae9c-7843c8cf388d,0207258c.tif,
Image,UoE~1~1~24839~219726,abeea0dc-849b-46b7-a0e0-2f42b044d424,0207257c.tif,
Image,UoE~1~1~24838~219727,cc8a9df3-0a61-4c75-9bfb-62c40ede1b5a,0207256c.tif,
Image,UoE~1~1~24837~219728,b6e2330e-b336-4e78-8881-0c40c2bb4694,0207255c.tif,
Image,UoE~1~1~24836~219729,9dee07ea-1f67-4fe7-b29d-dfe7052a1fae,0207254c.tif,
Image,UoE~1~1~24835~219730,9045e2ec-57da-4dd6-af11-49a8b69406a4,0207253c.tif,
