TOKEN, MAPPEDURL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
diehre,https://images.is.ed.ac.uk/luna/servlet/detail/UoEsha~4~4~64742~103064?sort=work_creator_details%2Cwork_shelfmark%2Cwork_source_page_no%2Cwork_title&qvq=q:9999999;sort:work_creator_details%2Cwork_shelfmark%2Cwork_source_page_no%2Cwork_title;lc:UoEsha~4~4&mi=0&trs=1
c5ndqi,https://images.is.ed.ac.uk/luna/servlet/detail/UoEsha~4~4~64742~103064?sort=work_creator_details%2Cwork_shelfmark%2Cwork_source_page_no%2Cwork_title&qvq=q:9999999;sort:work_creator_details%2Cwork_shelfmark%2Cwork_source_page_no%2Cwork_title;lc:UoEsha~4~4&mi=0&trs=1
0aq922,https://images.is.ed.ac.uk/luna/servlet/detail/UoEart~2~2~59373~104961:Natural-trumpet--Nominal-pitch--Eâ­-?qvq=q%3A3282%3Bsort%3Awork_creator_details%2Cwork_title%2Cwork_display_date%2Cwork_technique%3Blc%3AUoEart%7E2%7E2&cic=UoEart%7E2%7E2&sort=work_creator_details%2Cwork_title%2Cwork_display_date%2Cwork_technique&mi=0&trs=6
458wk0,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~81142~106230
grhs4y,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~59596~102221:Brougham-St--All-Saints-Church?qvq=mgid%3A243&mi=0&trs=1
q04161,"https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~6~6~145176~109670:Roslin-Glass-Slides-,No--1700?qvq=q%3ABearded+Collie%3Bsort%3Awork_creator_details%2Cwork_shelfmark%2Cwork_source_page_no%2Cwork_title%3Blc%3AUoEgal%7E6%7E6&cic=UoEgal%7E6%7E6&sort=work_creator_details%2Cwork_shelfmark%2Cwork_source_page_no%2Cwork_title&mi=0&trs=1"
8x985m,https://images.is.ed.ac.uk/luna/servlet/view/all?pgs=50&res=1&cic=UoEsha%7E3%7E3&sort=Work_Creator_Details%2CWork_Shelfmark%2CWork_Source_Page_No%2CWork_Title
z0z146,"https://images.is.ed.ac.uk/luna/servlet/detail/UoEsha~3~3~55782~102311:A-Messe-of-Pottage,-Title-page?trs=203&qvq=sort%3AWork_Creator_Details%2CWork_Shelfmark%2CWork_Source_Page_No%2CWork_Title%3Blc%3AUoEsha%7E3%7E3&mi=11&cic=UoEsha%7E3%7E3&sort=Work_Creator_Details%2CWork_Shelfmark%2CWork_Source_Page_No%2CWork_Title"
k1typc,"https://images.is.ed.ac.uk/luna/servlet/detail/UoEsha~3~3~55782~102311:A-Messe-of-Pottage,-Title-page?trs=203&qvq=q%3ALIMIT%3A+UoEsha%7E3%7E3%3Bsort%3AWork_Creator_Details%2CWork_Shelfmark%2CWork_Source_Page_No%2CWork_Title%3Blc%3AUoEsha%7E3%7E3&mi=11&cic=UoEsha%7E3%7E3&sort=Work_Creator_Details%2CWork_Shelfmark%2CWork_Source_Page_No%2CWork_Title"
gjjr4s,https://images.is.ed.ac.uk/luna/servlet/view/search?search=Search&q=0011234&QuickSearchA=QuickSearchA&pgs=50&res=0
